Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Werder Bremen,Bayern Munich,0.6,2.8,0,4
Leverkusen,RB Leipzig,1.4,1.6,3,2
Wolfsburg,Heidenheim,2.2,1.2,2,0
Stuttgart,Bochum,3.0,0.8,5,0
Augsburg,Gladbach,2.3,1.7,4,4
Hoffenheim,Freiburg,1.4,2.6,1,2
Dortmund,Köln,1.8,1.2,1,0
Union Berlin,Mainz 05,1.9,2.3,4,1
Eint Frankfurt,Darmstadt 98,1.5,0.5,1,0
RB Leipzig,Stuttgart,1.8,1.1,5,1
Bochum,Dortmund,1.0,1.3,1,1
Darmstadt 98,Union Berlin,2.3,1.7,1,4
Freiburg,Werder Bremen,2.4,1.0,1,0
Köln,Wolfsburg,0.9,1.7,1,2
Heidenheim,Hoffenheim,2.4,3.0,2,3
Gladbach,Leverkusen,0.9,2.7,0,3
Mainz 05,Eint Frankfurt,1.2,1.1,1,1
Bayern Munich,Augsburg,2.8,0.7,3,1
Dortmund,Heidenheim,3.4,2.1,2,2
Werder Bremen,Mainz 05,2.7,0.5,4,0
Hoffenheim,Wolfsburg,2.0,1.2,3,1
Leverkusen,Darmstadt 98,2.8,0.4,5,1
Augsburg,Bochum,1.9,1.6,2,2
Stuttgart,Freiburg,1.7,1.0,5,0
Gladbach,Bayern Munich,0.3,2.4,1,2
Eint Frankfurt,Köln,1.1,0.9,1,1
Union Berlin,RB Leipzig,0.3,1.2,0,3
Bayern Munich,Leverkusen,2.1,2.1,2,2
Wolfsburg,Union Berlin,0.4,1.1,2,1
Mainz 05,Stuttgart,0.9,1.6,1,3
Freiburg,Dortmund,1.0,2.3,2,4
Köln,Hoffenheim,1.0,1.0,1,3
RB Leipzig,Augsburg,1.1,1.7,3,0
Bochum,Eint Frankfurt,2.0,0.6,1,1
Heidenheim,Werder Bremen,2.2,3.0,4,2
Darmstadt 98,Gladbach,1.2,3.9,3,3
Stuttgart,Darmstadt 98,2.3,0.2,3,1
Bayern Munich,Bochum,4.8,0.1,7,0
Union Berlin,Hoffenheim,1.6,2.0,0,2
Augsburg,Mainz 05,0.8,0.6,2,1
Dortmund,Wolfsburg,1.7,0.5,1,0
Gladbach,RB Leipzig,0.8,0.7,0,1
Werder Bremen,Köln,2.1,1.3,2,1
Leverkusen,Heidenheim,3.4,0.5,4,1
Eint Frankfurt,Freiburg,0.6,0.5,0,0
Hoffenheim,Dortmund,1.9,1.6,1,3
Köln,Stuttgart,0.7,2.5,0,2
Heidenheim,Union Berlin,0.8,2.2,1,0
Wolfsburg,Eint Frankfurt,3.2,1.3,2,0
Bochum,Gladbach,1.7,2.9,1,3
Mainz 05,Leverkusen,0.5,1.1,0,3
