Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Lyon,Ajaccio,1.3,1.5,2,1
Strasbourg,Monaco,0.8,2.8,1,2
Clermont Foot,Paris S-G,0.3,3.5,0,5
Toulouse,Nice,0.9,1.2,1,1
Lens,Brest,2.5,1.2,3,2
Angers,Nantes,1.5,1.5,0,0
Lille,Auxerre,2.4,0.6,4,1
Montpellier,Troyes,1.7,2.0,3,2
Rennes,Lorient,1.8,1.1,0,1
Marseille,Reims,2.1,0.9,4,1
Nantes,Lille,1.0,2.0,1,1
Monaco,Rennes,1.8,2.1,1,1
Paris S-G,Montpellier,3.2,0.9,5,2
Ajaccio,Lens,0.5,1.4,0,0
Reims,Clermont Foot,2.7,1.9,2,4
Auxerre,Angers,0.8,1.4,2,2
Troyes,Toulouse,1.0,1.5,0,3
Nice,Strasbourg,1.6,0.9,1,1
Brest,Marseille,2.0,0.7,1,1
Lyon,Troyes,2.6,1.0,4,1
Monaco,Lens,1.6,2.5,1,4
Marseille,Nantes,1.1,2.2,2,1
Strasbourg,Reims,1.2,2.0,1,1
Montpellier,Auxerre,1.0,1.3,1,2
Clermont Foot,Nice,0.7,1.4,1,0
Angers,Brest,0.6,1.8,1,3
Toulouse,Lorient,1.8,2.5,2,2
Rennes,Ajaccio,1.2,1.4,2,1
Lille,Paris S-G,1.7,3.4,1,7
Ajaccio,Lille,1.5,1.7,1,3
Auxerre,Strasbourg,0.6,1.3,1,0
Lens,Rennes,1.3,1.0,2,1
Nantes,Toulouse,1.5,0.6,3,1
Lorient,Clermont Foot,2.9,0.6,2,1
Brest,Montpellier,0.3,2.5,0,7
Nice,Marseille,1.0,1.4,0,3
Troyes,Angers,1.9,0.7,3,1
Reims,Lyon,0.4,1.1,1,1
Paris S-G,Monaco,2.7,1.2,1,1
Strasbourg,Nantes,0.4,1.2,1,1
Monaco,Troyes,1.2,2.2,2,4
Lyon,Auxerre,2.6,0.7,2,1
Angers,Reims,1.7,2.3,2,4
Montpellier,Ajaccio,1.7,1.2,2,0
Toulouse,Paris S-G,0.8,2.8,0,3
Lille,Nice,0.9,1.6,1,2
Rennes,Brest,1.5,0.5,3,1
Marseille,Clermont Foot,2.5,0.1,1,0
Lens,Lorient,3.0,1.1,5,2
Auxerre,Marseille,0.6,1.6,0,2
Lyon,Angers,1.4,1.0,5,0
Nantes,Paris S-G,0.4,2.7,0,3
Montpellier,Lille,0.5,1.6,1,3
Clermont Foot,Toulouse,1.3,1.3,2,0
Reims,Lens,2.1,1.9,1,1
Brest,Strasbourg,0.8,2.4,1,1
Ajaccio,Lorient,0.5,0.8,0,1
Troyes,Rennes,0.9,2.4,1,1
Nice,Monaco,0.7,1.1,0,1
Lorient,Lyon,1.0,2.2,3,1
Lens,Troyes,1.4,0.7,1,0
Paris S-G,Brest,1.7,1.1,1,0
Marseille,Lille,2.2,1.0,2,1
Strasbourg,Clermont Foot,1.2,0.8,0,0
Angers,Montpellier,2.5,0.7,2,1
Lorient,Nantes,1.3,0.5,3,2
Toulouse,Reims,1.3,1.0,1,0
Ajaccio,Nice,1.2,1.2,0,1
Rennes,Auxerre,1.6,0.7,5,0
Monaco,Lyon,1.7,2.0,2,1
Auxerre,Lorient,2.0,2.5,1,3
Montpellier,Strasbourg,1.8,0.6,2,1
Lille,Toulouse,1.0,0.8,2,1
Reims,Monaco,0.6,1.7,0,3
