Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Crystal Palace,Arsenal,1.2,1.0,0,2
Fulham,Liverpool,1.2,1.2,2,2
Tottenham,Southampton,1.5,0.5,4,1
Newcastle Utd,Nott'ham Forest,1.7,0.3,2,0
Leeds United,Wolves,0.8,1.3,2,1
Bournemouth,Aston Villa,0.6,0.7,2,0
Everton,Chelsea,0.7,1.5,0,1
Leicester City,Brentford,0.6,0.8,2,2
Manchester Utd,Brighton,1.4,1.5,1,2
West Ham,Manchester City,0.5,2.2,0,2
Aston Villa,Everton,2.3,1.6,2,1
Manchester City,Bournemouth,1.7,0.1,4,0
Southampton,Leeds United,1.2,1.8,2,2
Wolves,Fulham,0.9,1.5,0,0
Arsenal,Leicester City,2.7,0.5,4,2
Brighton,Newcastle Utd,1.5,0.2,0,0
Brentford,Manchester Utd,1.6,0.9,4,0
Nott'ham Forest,West Ham,1.3,2.1,1,0
Chelsea,Tottenham,1.6,1.0,2,2
Liverpool,Crystal Palace,2.0,1.0,1,1
Tottenham,Wolves,1.7,0.7,1,0
Leicester City,Southampton,0.3,0.9,1,2
Everton,Nott'ham Forest,1.5,1.0,1,1
Crystal Palace,Aston Villa,2.6,0.9,3,1
Fulham,Brentford,2.4,1.8,3,2
Bournemouth,Arsenal,0.3,1.3,0,3
Leeds United,Chelsea,2.1,0.9,3,0
West Ham,Brighton,0.8,1.7,0,2
Newcastle Utd,Manchester City,1.8,2.1,3,3
Manchester Utd,Liverpool,1.8,1.3,2,1
Southampton,Manchester Utd,1.4,1.1,0,1
Manchester City,Crystal Palace,2.2,0.1,4,2
Brighton,Leeds United,2.0,1.8,1,0
Chelsea,Leicester City,1.8,2.5,2,1
Brentford,Everton,2.1,1.1,1,1
Liverpool,Bournemouth,3.3,0.3,9,0
Arsenal,Fulham,2.6,0.8,2,1
Wolves,Newcastle Utd,0.7,1.7,1,1
Aston Villa,West Ham,0.5,0.6,0,1
Nott'ham Forest,Tottenham,0.9,2.4,0,2
Fulham,Brighton,0.7,1.4,2,1
Crystal Palace,Brentford,1.0,1.4,1,1
Southampton,Chelsea,1.1,1.1,2,1
Leeds United,Everton,1.0,1.0,1,1
Bournemouth,Wolves,0.4,1.5,0,0
Manchester City,Nott'ham Forest,3.3,0.7,6,0
Arsenal,Aston Villa,2.4,0.4,2,1
West Ham,Tottenham,1.2,0.6,1,1
Liverpool,Newcastle Utd,1.5,0.7,2,1
Leicester City,Manchester Utd,0.7,1.5,0,1
Everton,Liverpool,1.7,2.1,0,0
Nott'ham Forest,Bournemouth,1.9,0.8,2,3
Wolves,Southampton,0.8,1.2,1,0
Newcastle Utd,Crystal Palace,2.8,1.0,0,0
Brentford,Leeds United,2.3,1.7,5,2
Tottenham,Fulham,2.9,0.7,2,1
Chelsea,West Ham,0.9,1.1,2,1
Aston Villa,Manchester City,0.3,2.1,1,1
Brighton,Leicester City,2.6,1.4,5,2
Manchester Utd,Arsenal,1.5,1.3,3,1
Aston Villa,Southampton,1.5,0.3,1,0
Nott'ham Forest,Fulham,1.4,0.9,2,3
Wolves,Manchester City,0.4,1.1,0,3
Newcastle Utd,Bournemouth,1.9,0.7,1,1
Tottenham,Leicester City,2.2,1.8,6,2
Brentford,Arsenal,0.5,1.5,0,3
Everton,West Ham,0.4,1.0,1,0
Arsenal,Tottenham,2.4,1.6,3,1
Southampton,Everton,1.7,2.0,1,2
Crystal Palace,Chelsea,0.4,1.1,1,2
Liverpool,Brighton,1.5,1.4,3,3
Fulham,Newcastle Utd,0.5,3.3,1,4
Bournemouth,Brentford,0.4,0.9,0,0
West Ham,Wolves,0.9,0.7,2,0
Manchester City,Manchester Utd,3.2,1.7,6,3
Leeds United,Aston Villa,0.4,2.2,0,0
Leicester City,Nott'ham Forest,1.3,1.1,4,0
Bournemouth,Leicester City,1.1,1.0,2,1
Newcastle Utd,Brentford,1.5,1.2,5,1
Manchester City,Southampton,2.4,0.2,4,0
Chelsea,Wolves,1.9,1.1,3,0
Brighton,Tottenham,0.7,0.8,0,1
West Ham,Fulham,2.4,0.7,3,1
Crystal Palace,Leeds United,1.1,1.0,2,1
Arsenal,Liverpool,2.7,1.1,3,2
Everton,Manchester Utd,0.6,1.4,1,2
Nott'ham Forest,Aston Villa,0.3,0.7,1,1
Brentford,Brighton,1.5,1.9,2,0
Leicester City,Crystal Palace,1.0,0.4,0,0
Fulham,Bournemouth,2.1,1.0,2,2
Wolves,Nott'ham Forest,1.3,1.5,1,0
Tottenham,Everton,2.2,0.4,2,0
Southampton,West Ham,0.5,1.7,1,1
Aston Villa,Chelsea,1.8,0.9,0,2
Leeds United,Arsenal,1.8,0.5,0,1
Manchester Utd,Newcastle Utd,0.8,0.8,0,0
Liverpool,Manchester City,2.1,1.0,1,0
Brighton,Nott'ham Forest,1.7,0.1,0,0
Crystal Palace,Wolves,1.2,0.8,2,1
Bournemouth,Southampton,1.0,1.0,0,1
Brentford,Chelsea,1.3,0.9,0,0
Liverpool,West Ham,1.7,1.7,1,0
Newcastle Utd,Everton,1.5,0.2,1,0
Manchester Utd,Tottenham,1.5,0.6,2,0
Fulham,Aston Villa,2.1,1.2,3,0
Leicester City,Leeds United,0.8,1.3,2,0
Nott'ham Forest,Liverpool,1.9,1.6,1,0
Everton,Crystal Palace,1.4,0.9,3,0
Manchester City,Brighton,1.6,0.5,3,1
Chelsea,Manchester Utd,1.1,0.8,1,1
Aston Villa,Brentford,2.8,0.9,4,0
Wolves,Leicester City,2.1,0.9,0,4
Leeds United,Fulham,1.6,1.8,2,3
Southampton,Arsenal,0.7,1.0,1,1
Tottenham,Newcastle Utd,1.6,1.2,1,2
West Ham,Bournemouth,1.9,0.4,2,0
Leicester City,Manchester City,0.7,1.0,0,1
Brentford,Wolves,1.4,0.6,1,1
Crystal Palace,Southampton,0.9,1.3,1,0
Newcastle Utd,Aston Villa,3.4,0.4,4,0
Brighton,Chelsea,2.4,1.4,4,1
Bournemouth,Tottenham,0.5,2.0,2,3
Fulham,Everton,1.9,0.9,0,0
Liverpool,Leeds United,1.7,1.8,1,2
Arsenal,Nott'ham Forest,2.3,0.4,5,0
Manchester Utd,West Ham,1.2,1.1,1,0
Nott'ham Forest,Brentford,1.5,1.5,2,2
Leeds United,Bournemouth,2.2,1.5,4,3
Manchester City,Fulham,2.1,1.0,2,1
Wolves,Brighton,1.2,1.5,2,3
Everton,Leicester City,1.2,2.3,0,2
Chelsea,Arsenal,0.3,2.1,0,1
West Ham,Crystal Palace,0.3,1.0,1,2
Southampton,Newcastle Utd,1.7,0.9,1,4
Aston Villa,Manchester Utd,0.6,0.5,3,1
Tottenham,Liverpool,1.2,1.2,1,2
Manchester City,Brentford,1.6,1.3,1,2
Tottenham,Leeds United,1.8,1.1,4,3
Liverpool,Southampton,1.9,1.1,3,1
Bournemouth,Everton,2.4,0.8,3,0
West Ham,Leicester City,1.4,1.8,0,2
Nott'ham Forest,Crystal Palace,1.1,1.2,1,0
Newcastle Utd,Chelsea,1.0,0.3,1,0
Wolves,Arsenal,0.7,2.1,0,2
Brighton,Aston Villa,0.6,1.5,1,2
Fulham,Manchester Utd,1.4,2.5,1,2
Brentford,Tottenham,2.0,1.1,2,2
Southampton,Brighton,1.9,0.6,1,3
Leicester City,Newcastle Utd,0.5,1.9,0,3
Crystal Palace,Fulham,0.4,2.5,0,3
Everton,Wolves,1.7,0.8,1,2
Aston Villa,Liverpool,1.4,2.7,1,3
Arsenal,West Ham,2.1,1.0,3,1
Chelsea,Bournemouth,1.8,0.5,2,0
Manchester Utd,Nott'ham Forest,2.4,0.7,3,0
Leeds United,Manchester City,0.6,4.3,1,3
West Ham,Brentford,1.3,1.6,0,2
Liverpool,Leicester City,2.2,1.0,2,1
