Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Fiorentina,Torino,1.9,0.7,1,0
Hellas Verona,Roma,,,3,0
Parma,Napoli,0.3,1.6,0,2
Genoa,Crotone,2.3,1.6,4,1
Sassuolo,Cagliari,2.1,0.9,1,1
Juventus,Sampdoria,2.0,0.8,3,0
Milan,Bologna,2.6,1.1,2,0
Torino,Atalanta,0.6,2.1,2,4
Sampdoria,Benevento,1.0,1.1,2,3
Cagliari,Lazio,1.2,2.3,0,2
Inter,Fiorentina,2.3,2.4,4,3
Spezia,Sassuolo,1.4,2.1,1,4
Hellas Verona,Udinese,0.9,2.2,1,0
Crotone,Milan,0.2,2.4,0,2
Napoli,Genoa,2.9,0.7,6,0
Roma,Juventus,2.8,1.9,2,2
Bologna,Parma,1.6,1.4,4,1
Benevento,Inter,1.5,3.6,2,5
Udinese,Spezia,1.8,0.8,0,2
Lazio,Atalanta,2.3,1.8,1,4
Fiorentina,Sampdoria,1.7,2.2,1,2
Sassuolo,Crotone,1.8,1.9,4,1
Udinese,Roma,1.5,1.0,0,1
Atalanta,Cagliari,3.4,0.8,5,2
Benevento,Bologna,1.0,2.0,1,0
Parma,Hellas Verona,1.1,0.6,1,0
Lazio,Inter,1.2,0.6,1,1
Milan,Spezia,2.6,0.2,3,0
Napoli,Atalanta,1.6,0.7,4,1
Sampdoria,Lazio,1.3,0.5,3,0
Inter,Milan,2.8,2.1,1,2
Crotone,Juventus,1.2,1.8,1,1
Bologna,Sassuolo,1.4,2.7,3,4
Torino,Cagliari,1.4,1.9,2,3
Spezia,Fiorentina,0.9,1.0,2,2
Udinese,Parma,1.3,1.0,3,2
Roma,Benevento,4.0,1.6,5,2
Hellas Verona,Genoa,1.1,0.4,0,0
Sassuolo,Torino,2.1,2.1,3,3
Atalanta,Sampdoria,2.1,2.1,1,3
Genoa,Inter,0.0,1.7,0,2
Lazio,Bologna,1.5,1.7,2,1
Cagliari,Crotone,2.2,1.6,4,2
Parma,Spezia,3.5,0.8,2,2
Benevento,Napoli,0.8,2.2,1,2
Fiorentina,Udinese,1.1,2.6,3,2
Juventus,Hellas Verona,1.5,0.7,1,1
Milan,Roma,2.5,2.1,3,3
Crotone,Atalanta,0.6,2.8,1,2
Inter,Parma,2.9,0.9,2,2
Bologna,Cagliari,1.1,1.2,3,2
Udinese,Milan,1.0,1.1,1,2
Torino,Lazio,2.4,1.8,3,4
Spezia,Juventus,0.7,2.7,1,4
Napoli,Sassuolo,2.1,1.8,0,2
Roma,Fiorentina,3.0,0.4,2,0
Sampdoria,Genoa,0.8,1.2,1,1
Hellas Verona,Benevento,2.1,1.5,3,1
Genoa,Torino,1.4,0.3,1,2
Sassuolo,Udinese,0.1,0.1,0,0
Cagliari,Sampdoria,1.9,0.2,2,0
Benevento,Spezia,0.2,1.1,0,3
Parma,Fiorentina,0.2,0.5,0,0
Lazio,Juventus,1.0,1.3,1,1
Torino,Crotone,0.2,0.3,0,0
Genoa,Roma,0.6,2.6,1,3
Atalanta,Inter,1.0,0.9,1,1
Bologna,Napoli,0.7,1.4,0,1
Milan,Hellas Verona,3.5,1.6,2,2
Crotone,Lazio,1.0,1.7,0,2
Spezia,Atalanta,0.4,2.1,0,0
Juventus,Cagliari,2.2,0.1,2,0
Fiorentina,Benevento,1.1,0.6,0,1
Inter,Torino,4.0,2.1,4,2
Roma,Parma,3.1,0.0,3,0
Hellas Verona,Sassuolo,1.5,0.4,0,2
Sampdoria,Bologna,0.9,1.6,1,2
Udinese,Genoa,0.4,0.6,1,0
Napoli,Milan,1.5,2.4,1,3
Sassuolo,Inter,0.7,1.2,0,3
Benevento,Juventus,0.5,1.5,1,1
Atalanta,Hellas Verona,1.4,1.9,0,2
Lazio,Udinese,1.2,1.5,1,3
Bologna,Crotone,1.8,0.4,1,0
Milan,Fiorentina,2.6,0.7,2,0
Cagliari,Spezia,1.9,2.5,2,2
Napoli,Roma,1.7,0.5,4,0
Torino,Sampdoria,1.8,1.4,2,2
Genoa,Parma,1.6,1.1,1,2
Spezia,Lazio,1.5,0.5,1,2
Juventus,Torino,1.6,1.0,2,1
Inter,Bologna,2.0,1.4,3,1
Hellas Verona,Cagliari,2.7,1.5,1,1
Parma,Benevento,0.7,0.4,0,0
Roma,Sassuolo,1.3,0.3,0,0
Crotone,Napoli,0.3,1.7,0,4
Sampdoria,Milan,1.2,2.5,1,2
Fiorentina,Genoa,2.6,1.3,1,1
Sassuolo,Benevento,1.1,2.5,1,0
Crotone,Spezia,1.3,1.0,4,1
Torino,Udinese,1.0,1.3,2,3
Lazio,Hellas Verona,0.7,0.9,1,2
Cagliari,Inter,1.6,2.8,1,3
Napoli,Sampdoria,1.5,1.1,2,1
Bologna,Roma,0.4,3.1,1,5
Atalanta,Fiorentina,2.7,0.3,3,0
Genoa,Juventus,0.2,3.4,1,3
Milan,Parma,1.9,0.5,2,2
Udinese,Crotone,1.3,0.2,0,0
Benevento,Lazio,1.4,0.7,1,1
Juventus,Atalanta,2.6,0.9,1,1
Parma,Cagliari,1.1,0.4,0,0
Genoa,Milan,1.1,2.2,2,2
Hellas Verona,Sampdoria,1.8,1.0,1,2
Inter,Napoli,1.2,2.2,1,0
Fiorentina,Sassuolo,2.1,1.6,1,1
Spezia,Bologna,2.5,1.4,2,2
Roma,Torino,3.1,1.0,3,1
Fiorentina,Hellas Verona,1.6,1.5,1,1
Sampdoria,Crotone,2.3,1.0,3,1
Parma,Juventus,1.0,2.3,0,4
Torino,Bologna,1.2,1.9,1,1
Inter,Spezia,1.2,1.0,2,1
Benevento,Genoa,1.5,0.3,2,0
Cagliari,Udinese,0.6,1.5,1,1
Sassuolo,Milan,1.1,1.2,1,2
Atalanta,Roma,1.9,0.7,4,1
Lazio,Napoli,1.0,0.9,2,0
Crotone,Parma,0.6,1.4,2,1
Juventus,Fiorentina,0.5,1.6,0,3
Hellas Verona,Inter,1.5,1.8,1,2
Sampdoria,Sassuolo,1.9,2.0,2,3
Spezia,Genoa,0.5,1.4,1,2
Roma,Cagliari,2.8,1.3,3,2
Bologna,Atalanta,1.0,1.4,2,2
Napoli,Torino,0.9,0.4,1,1
Udinese,Benevento,2.0,0.3,0,2
Milan,Lazio,1.6,1.6,3,2
Inter,Crotone,2.4,1.4,6,2
Atalanta,Sassuolo,2.7,0.6,5,1
Roma,Sampdoria,2.3,0.2,1,0
Fiorentina,Bologna,0.5,0.8,0,0
Genoa,Lazio,0.9,1.4,1,1
Cagliari,Napoli,0.9,4.6,1,4
Spezia,Hellas Verona,0.9,1.3,0,1
Parma,Torino,1.0,1.7,0,3
Benevento,Milan,2.5,1.5,0,2
Juventus,Udinese,2.5,1.7,4,1
Cagliari,Benevento,1.0,1.4,1,2
Atalanta,Parma,1.8,0.1,3,0
Sassuolo,Genoa,2.1,1.1,2,1
Crotone,Roma,0.8,2.0,1,3
Bologna,Udinese,1.2,2.1,2,2
Sampdoria,Inter,1.3,2.7,2,1
Torino,Hellas Verona,1.4,0.4,1,1
Lazio,Fiorentina,1.5,1.7,2,1
Napoli,Spezia,3.1,1.9,1,2
Milan,Juventus,1.0,2.3,1,3
Benevento,Atalanta,0.9,3.8,1,4
Genoa,Bologna,1.3,0.9,2,0
Milan,Torino,1.6,0.5,2,0
Roma,Inter,0.7,1.6,2,2
Udinese,Napoli,2.1,1.7,1,2
Hellas Verona,Crotone,1.4,0.9,2,1
Parma,Lazio,0.3,2.9,0,2
Fiorentina,Cagliari,1.9,1.2,1,0
Juventus,Sassuolo,2.8,0.7,3,1
Spezia,Sampdoria,1.5,0.7,2,1
Lazio,Roma,0.8,0.9,3,0
Bologna,Hellas Verona,2.0,0.8,1,0
Torino,Spezia,0.7,0.3,0,0
Sampdoria,Udinese,1.5,2.1,2,1
Napoli,Fiorentina,2.0,1.0,6,0
Sassuolo,Parma,1.9,0.8,1,1
Crotone,Benevento,1.5,2.2,4,1
Atalanta,Genoa,1.6,0.8,0,0
Inter,Juventus,1.6,0.5,2,0
Cagliari,Milan,1.3,1.7,0,2
Udinese,Atalanta,0.4,1.5,1,1
Benevento,Torino,1.6,1.4,2,2
Roma,Spezia,2.6,1.3,4,3
Udinese,Inter,0.3,0.7,0,0
Milan,Atalanta,1.8,2.0,0,3
Fiorentina,Crotone,1.2,0.7,2,1
Juventus,Bologna,3.0,0.5,2,0
Hellas Verona,Napoli,1.8,0.8,3,1
Genoa,Cagliari,1.7,1.0,1,0
Lazio,Sassuolo,1.9,0.6,2,1
Parma,Sampdoria,0.4,1.7,0,2
Torino,Fiorentina,2.2,1.4,1,1
Bologna,Milan,1.6,2.5,1,2
Sampdoria,Juventus,0.5,1.5,0,2
Inter,Benevento,1.4,0.0,4,0
Spezia,Udinese,0.8,1.1,0,1
Cagliari,Sassuolo,0.8,1.9,1,1
Atalanta,Lazio,1.2,1.9,1,3
Crotone,Genoa,0.6,1.3,0,3
Napoli,Parma,1.0,0.3,2,0
Roma,Hellas Verona,2.0,0.7,3,1
Fiorentina,Inter,0.6,2.2,0,2
Atalanta,Torino,1.8,2.8,3,3
Sassuolo,Spezia,0.8,1.9,1,2
Juventus,Roma,0.2,1.0,2,0
Genoa,Napoli,1.0,2.0,2,1
Benevento,Sampdoria,1.0,1.7,1,1
Milan,Crotone,2.2,0.6,4,0
Udinese,Hellas Verona,2.0,0.3,2,0
Parma,Bologna,0.9,1.3,0,3
Lazio,Cagliari,1.2,0.8,1,0
Bologna,Benevento,1.7,0.8,1,1
Torino,Genoa,0.4,0.3,0,0
Napoli,Juventus,1.1,2.2,1,0
Spezia,Milan,1.5,0.5,2,0
Roma,Udinese,2.3,0.3,3,0
Sampdoria,Fiorentina,1.1,1.3,2,1
Cagliari,Atalanta,0.2,0.6,0,1
Crotone,Sassuolo,0.8,2.5,1,2
Inter,Lazio,2.2,0.7,3,1
Hellas Verona,Parma,1.2,1.5,2,1
Fiorentina,Spezia,2.0,1.0,3,0
Cagliari,Torino,1.0,1.1,0,1
Lazio,Sampdoria,1.4,1.3,1,0
Genoa,Hellas Verona,1.0,1.2,2,2
Sassuolo,Bologna,1.7,0.5,1,1
Parma,Udinese,2.6,1.2,2,2
Milan,Inter,0.8,2.6,0,3
Atalanta,Napoli,2.2,0.7,4,2
Benevento,Roma,0.3,0.6,0,0
Juventus,Crotone,3.4,0.8,3,0
Spezia,Parma,1.6,1.1,2,2
Bologna,Lazio,1.3,2.5,2,0
Hellas Verona,Juventus,0.8,1.0,1,1
Sampdoria,Atalanta,0.4,1.6,0,2
Crotone,Cagliari,1.0,1.5,0,2
Inter,Genoa,2.7,0.1,3,0
Udinese,Fiorentina,0.7,0.4,1,0
Napoli,Benevento,2.0,0.4,2,0
Roma,Milan,1.4,3.1,1,2
Juventus,Spezia,2.4,1.4,3,0
Sassuolo,Napoli,2.4,2.6,3,3
Atalanta,Crotone,3.0,0.7,5,1
Benevento,Hellas Verona,0.3,1.4,0,3
Genoa,Sampdoria,0.2,0.5,1,1
Fiorentina,Roma,0.5,1.7,1,2
Milan,Udinese,1.6,0.6,1,1
Cagliari,Bologna,1.2,0.6,1,0
Parma,Inter,0.8,2.9,1,2
Spezia,Benevento,1.5,0.4,1,1
Udinese,Sassuolo,1.7,0.9,2,0
Juventus,Lazio,1.5,1.0,3,1
Roma,Genoa,1.0,0.2,1,0
Fiorentina,Parma,1.1,2.7,3,3
Crotone,Torino,2.6,1.8,4,2
Hellas Verona,Milan,0.9,0.7,0,2
Sampdoria,Cagliari,0.6,0.6,2,2
Napoli,Bologna,1.0,0.7,3,1
Inter,Atalanta,0.2,0.9,1,0
Lazio,Crotone,2.6,1.3,3,2
Atalanta,Spezia,1.6,1.4,3,1
Sassuolo,Hellas Verona,1.6,1.2,3,2
Benevento,Fiorentina,1.9,1.9,1,4
Genoa,Udinese,1.5,1.8,1,1
Bologna,Sampdoria,1.9,1.6,3,1
Torino,Inter,0.9,2.5,1,2
Parma,Roma,2.0,1.7,2,0
Cagliari,Juventus,0.9,2.0,1,3
Milan,Napoli,1.0,1.1,0,1
Torino,Sassuolo,2.7,1.5,3,2
Parma,Genoa,2.3,1.2,1,2
Crotone,Bologna,1.9,3.1,2,3
Spezia,Cagliari,0.9,2.7,2,1
